,Pclass,Alone,Fare,Parch,Family_Size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived
196,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
197,3,0,8.4042,1,2,0.0,1.0,0.0,0.0,1.0,0
199,2,1,13.0,0,1,1.0,0.0,0.0,0.0,1.0,0
200,3,1,9.5,0,1,0.0,1.0,0.0,0.0,1.0,0
201,3,0,69.55,2,11,0.0,1.0,0.0,0.0,1.0,0
202,3,1,6.4958,0,1,0.0,1.0,0.0,0.0,1.0,0
203,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
205,3,0,10.4625,1,2,1.0,0.0,0.0,0.0,1.0,0
206,3,0,15.85,0,2,0.0,1.0,0.0,0.0,1.0,0
210,3,1,7.05,0,1,0.0,1.0,0.0,0.0,1.0,0
212,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
213,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
214,3,0,7.75,0,2,0.0,1.0,0.0,1.0,0.0,0
217,2,0,27.0,0,2,0.0,1.0,0.0,0.0,1.0,0
219,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
221,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
222,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
223,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
225,3,1,9.35,0,1,0.0,1.0,0.0,0.0,1.0,0
227,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
228,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
229,3,0,25.4667,1,5,1.0,0.0,0.0,0.0,1.0,0
231,3,1,7.775,0,1,0.0,1.0,0.0,0.0,1.0,0
232,2,1,13.5,0,1,0.0,1.0,0.0,0.0,1.0,0
234,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
235,3,1,7.55,0,1,1.0,0.0,0.0,0.0,1.0,0
236,2,0,26.0,0,2,0.0,1.0,0.0,0.0,1.0,0
238,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
239,2,1,12.275,0,1,0.0,1.0,0.0,0.0,1.0,0
240,3,0,14.4542,0,2,1.0,0.0,1.0,0.0,0.0,0
242,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
243,3,1,7.125,0,1,0.0,1.0,0.0,0.0,1.0,0
244,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
245,1,0,90.0,0,3,0.0,1.0,0.0,1.0,0.0,0
246,3,1,7.775,0,1,1.0,0.0,0.0,0.0,1.0,0
249,2,0,26.0,0,2,0.0,1.0,0.0,0.0,1.0,0
250,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
251,3,0,10.4625,1,3,1.0,0.0,0.0,0.0,1.0,0
252,1,1,26.55,0,1,0.0,1.0,0.0,0.0,1.0,0
253,3,0,16.1,0,2,0.0,1.0,0.0,0.0,1.0,0
254,3,0,20.2125,2,3,1.0,0.0,0.0,0.0,1.0,0
260,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
262,1,0,79.65,1,3,0.0,1.0,0.0,0.0,1.0,0
263,1,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
264,3,1,7.75,0,1,1.0,0.0,0.0,1.0,0.0,0
265,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
266,3,0,39.6875,1,6,0.0,1.0,0.0,0.0,1.0,0
270,1,1,31.0,0,1,0.0,1.0,0.0,0.0,1.0,0
273,1,0,29.7,1,2,0.0,1.0,1.0,0.0,0.0,0
276,3,1,7.75,0,1,1.0,0.0,0.0,0.0,1.0,0
277,2,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
278,3,0,29.125,1,6,0.0,1.0,0.0,1.0,0.0,0
280,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
281,3,1,7.8542,0,1,0.0,1.0,0.0,0.0,1.0,0
282,3,1,9.5,0,1,0.0,1.0,0.0,0.0,1.0,0
284,1,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
285,3,1,8.6625,0,1,0.0,1.0,1.0,0.0,0.0,0
287,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
292,2,1,12.875,0,1,0.0,1.0,1.0,0.0,0.0,0
293,3,1,8.85,0,1,1.0,0.0,0.0,0.0,1.0,0
294,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
295,1,1,27.7208,0,1,0.0,1.0,1.0,0.0,0.0,0
296,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
297,1,0,151.55,2,4,1.0,0.0,0.0,0.0,1.0,0
302,3,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
304,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
308,2,0,24.0,0,2,0.0,1.0,1.0,0.0,0.0,0
312,2,0,26.0,1,3,1.0,0.0,0.0,0.0,1.0,0
313,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
314,2,0,26.25,1,3,0.0,1.0,0.0,0.0,1.0,0
317,2,1,14.0,0,1,0.0,1.0,0.0,0.0,1.0,0
320,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
321,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
324,3,0,69.55,2,11,0.0,1.0,0.0,0.0,1.0,0
326,3,1,6.2375,0,1,0.0,1.0,0.0,0.0,1.0,0
331,1,1,28.5,0,1,0.0,1.0,0.0,0.0,1.0,0
332,1,0,153.4625,1,2,0.0,1.0,0.0,0.0,1.0,0
333,3,0,18.0,0,3,0.0,1.0,0.0,0.0,1.0,0
335,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
336,1,0,66.6,0,2,0.0,1.0,0.0,0.0,1.0,0
339,1,1,35.5,0,1,0.0,1.0,0.0,0.0,1.0,0
342,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
343,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
344,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
349,3,1,8.6625,0,1,0.0,1.0,0.0,0.0,1.0,0
350,3,1,9.225,0,1,0.0,1.0,0.0,0.0,1.0,0
351,1,1,35.0,0,1,0.0,1.0,0.0,0.0,1.0,0
352,3,0,7.2292,1,3,0.0,1.0,1.0,0.0,0.0,0
353,3,0,17.8,0,2,0.0,1.0,0.0,0.0,1.0,0
354,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
355,3,1,9.5,0,1,0.0,1.0,0.0,0.0,1.0,0
357,2,1,13.0,0,1,1.0,0.0,0.0,0.0,1.0,0
360,3,0,27.9,4,6,0.0,1.0,0.0,0.0,1.0,0
361,2,0,27.7208,0,2,0.0,1.0,1.0,0.0,0.0,0
362,3,0,14.4542,1,2,1.0,0.0,1.0,0.0,0.0,0
363,3,1,7.05,0,1,0.0,1.0,0.0,0.0,1.0,0
364,3,0,15.5,0,2,0.0,1.0,0.0,1.0,0.0,0
365,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
371,3,0,6.4958,0,2,0.0,1.0,0.0,0.0,1.0,0
372,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
373,1,1,135.6333,0,1,0.0,1.0,1.0,0.0,0.0,0
374,3,0,21.075,1,5,1.0,0.0,0.0,0.0,1.0,0
377,1,0,211.5,2,3,0.0,1.0,1.0,0.0,0.0,0
378,3,1,4.0125,0,1,0.0,1.0,1.0,0.0,0.0,0
379,3,1,7.775,0,1,0.0,1.0,0.0,0.0,1.0,0
382,3,1,7.925,0,1,0.0,1.0,0.0,0.0,1.0,0
384,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
385,2,1,73.5,0,1,0.0,1.0,0.0,0.0,1.0,0
386,3,0,46.9,2,8,0.0,1.0,0.0,0.0,1.0,0
388,3,1,7.7292,0,1,0.0,1.0,0.0,1.0,0.0,0
392,3,0,7.925,0,3,0.0,1.0,0.0,0.0,1.0,0
395,3,1,7.7958,0,1,0.0,1.0,0.0,0.0,1.0,0
396,3,1,7.8542,0,1,1.0,0.0,0.0,0.0,1.0,0
397,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
398,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
401,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
402,3,0,9.825,0,2,1.0,0.0,0.0,0.0,1.0,0
403,3,0,15.85,0,2,0.0,1.0,0.0,0.0,1.0,0
404,3,1,8.6625,0,1,1.0,0.0,0.0,0.0,1.0,0
405,2,0,21.0,0,2,0.0,1.0,0.0,0.0,1.0,0
406,3,1,7.75,0,1,0.0,1.0,0.0,0.0,1.0,0
408,3,1,7.775,0,1,0.0,1.0,0.0,0.0,1.0,0
409,3,0,25.4667,1,5,1.0,0.0,0.0,0.0,1.0,0
410,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
411,3,1,6.8583,0,1,0.0,1.0,0.0,1.0,0.0,0
413,2,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
415,3,1,8.05,0,1,1.0,0.0,0.0,0.0,1.0,0
418,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
419,3,0,24.15,2,3,1.0,0.0,0.0,0.0,1.0,0
420,3,1,7.8958,0,1,0.0,1.0,1.0,0.0,0.0,0
421,3,1,7.7333,0,1,0.0,1.0,0.0,1.0,0.0,0
422,3,1,7.875,0,1,0.0,1.0,0.0,0.0,1.0,0
423,3,0,14.4,1,3,1.0,0.0,0.0,0.0,1.0,0
424,3,0,20.2125,1,3,0.0,1.0,0.0,0.0,1.0,0
425,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
428,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
433,3,1,7.125,0,1,0.0,1.0,0.0,0.0,1.0,0
434,1,0,55.9,0,2,0.0,1.0,0.0,0.0,1.0,0
436,3,0,34.375,2,5,1.0,0.0,0.0,0.0,1.0,0
438,1,0,263.0,4,6,0.0,1.0,0.0,0.0,1.0,0
439,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
441,3,1,9.5,0,1,0.0,1.0,0.0,0.0,1.0,0
442,3,0,7.775,0,2,0.0,1.0,0.0,0.0,1.0,0
450,2,0,27.75,2,4,0.0,1.0,0.0,0.0,1.0,0
451,3,0,19.9667,0,2,0.0,1.0,0.0,0.0,1.0,0
452,1,1,27.75,0,1,0.0,1.0,1.0,0.0,0.0,0
454,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
456,1,1,26.55,0,1,0.0,1.0,0.0,0.0,1.0,0
459,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
461,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
462,1,1,38.5,0,1,0.0,1.0,0.0,0.0,1.0,0
463,2,1,13.0,0,1,0.0,1.0,0.0,0.0,1.0,0
464,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
465,3,1,7.05,0,1,0.0,1.0,0.0,0.0,1.0,0
466,2,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
467,1,1,26.55,0,1,0.0,1.0,0.0,0.0,1.0,0
468,3,1,7.725,0,1,0.0,1.0,0.0,1.0,0.0,0
470,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
471,3,1,8.6625,0,1,0.0,1.0,0.0,0.0,1.0,0
474,3,1,9.8375,0,1,1.0,0.0,0.0,0.0,1.0,0
475,1,1,52.0,0,1,0.0,1.0,0.0,0.0,1.0,0
476,2,0,21.0,0,2,0.0,1.0,0.0,0.0,1.0,0
477,3,0,7.0458,0,2,0.0,1.0,0.0,0.0,1.0,0
478,3,1,7.5208,0,1,0.0,1.0,0.0,0.0,1.0,0
480,3,0,46.9,2,8,0.0,1.0,0.0,0.0,1.0,0
481,2,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
482,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
485,3,0,25.4667,1,5,1.0,0.0,0.0,0.0,1.0,0
487,1,1,29.7,0,1,0.0,1.0,1.0,0.0,0.0,0
488,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
490,3,0,19.9667,0,2,0.0,1.0,0.0,0.0,1.0,0
491,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
492,1,1,30.5,0,1,0.0,1.0,0.0,0.0,1.0,0
493,1,1,49.5042,0,1,0.0,1.0,1.0,0.0,0.0,0
494,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
495,3,1,14.4583,0,1,0.0,1.0,1.0,0.0,0.0,0
497,3,1,15.1,0,1,0.0,1.0,0.0,0.0,1.0,0
498,1,0,151.55,2,4,1.0,0.0,0.0,0.0,1.0,0
499,3,1,7.7958,0,1,0.0,1.0,0.0,0.0,1.0,0
500,3,1,8.6625,0,1,0.0,1.0,0.0,0.0,1.0,0
501,3,1,7.75,0,1,1.0,0.0,0.0,1.0,0.0,0
502,3,1,7.6292,0,1,1.0,0.0,0.0,1.0,0.0,0
503,3,1,9.5875,0,1,1.0,0.0,0.0,0.0,1.0,0
505,1,0,108.9,0,2,0.0,1.0,1.0,0.0,0.0,0
508,3,1,22.525,0,1,0.0,1.0,0.0,0.0,1.0,0
511,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
514,3,1,7.4958,0,1,0.0,1.0,0.0,0.0,1.0,0
515,1,1,34.0208,0,1,0.0,1.0,0.0,0.0,1.0,0
517,3,1,24.15,0,1,0.0,1.0,0.0,1.0,0.0,0
519,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
521,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
522,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
524,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
525,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
527,1,1,221.7792,0,1,0.0,1.0,0.0,0.0,1.0,0
528,3,1,7.925,0,1,0.0,1.0,0.0,0.0,1.0,0
529,2,0,11.5,1,4,0.0,1.0,0.0,0.0,1.0,0
531,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
532,3,0,7.2292,1,3,0.0,1.0,1.0,0.0,0.0,0
534,3,1,8.6625,0,1,1.0,0.0,0.0,0.0,1.0,0
536,1,1,26.55,0,1,0.0,1.0,0.0,0.0,1.0,0
538,3,1,14.5,0,1,0.0,1.0,0.0,0.0,1.0,0
541,3,0,31.275,2,7,1.0,0.0,0.0,0.0,1.0,0
542,3,0,31.275,2,7,1.0,0.0,0.0,0.0,1.0,0
544,1,0,106.425,0,2,0.0,1.0,1.0,0.0,0.0,0
545,1,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
548,3,0,20.525,1,3,0.0,1.0,0.0,0.0,1.0,0
551,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
552,3,1,7.8292,0,1,0.0,1.0,0.0,1.0,0.0,0
555,1,1,26.55,0,1,0.0,1.0,0.0,0.0,1.0,0
557,1,1,227.525,0,1,0.0,1.0,1.0,0.0,0.0,0
560,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
561,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
562,2,1,13.5,0,1,0.0,1.0,0.0,0.0,1.0,0
563,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
564,3,1,8.05,0,1,1.0,0.0,0.0,0.0,1.0,0
565,3,0,24.15,0,3,0.0,1.0,0.0,0.0,1.0,0
566,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
567,3,0,21.075,4,5,1.0,0.0,0.0,0.0,1.0,0
568,3,1,7.2292,0,1,0.0,1.0,1.0,0.0,0.0,0
574,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
575,3,1,14.5,0,1,0.0,1.0,0.0,0.0,1.0,0
578,3,0,14.4583,0,2,1.0,0.0,1.0,0.0,0.0,0
582,2,1,26.0,0,1,0.0,1.0,0.0,0.0,1.0,0
583,1,1,40.125,0,1,0.0,1.0,1.0,0.0,0.0,0
584,3,1,8.7125,0,1,0.0,1.0,1.0,0.0,0.0,0
586,2,1,15.0,0,1,0.0,1.0,0.0,0.0,1.0,0
588,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
589,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
590,3,1,7.125,0,1,0.0,1.0,0.0,0.0,1.0,0
592,3,1,7.25,0,1,0.0,1.0,0.0,0.0,1.0,0
593,3,0,7.75,2,3,1.0,0.0,0.0,1.0,0.0,0
594,2,0,26.0,0,2,0.0,1.0,0.0,0.0,1.0,0
595,3,0,24.15,1,3,0.0,1.0,0.0,0.0,1.0,0
597,3,1,0.0,0,1,0.0,1.0,0.0,0.0,1.0,0
598,3,1,7.225,0,1,0.0,1.0,1.0,0.0,0.0,0
601,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
602,1,1,42.4,0,1,0.0,1.0,0.0,0.0,1.0,0
603,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
605,3,0,15.55,0,2,0.0,1.0,0.0,0.0,1.0,0
606,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
610,3,0,31.275,5,7,1.0,0.0,0.0,0.0,1.0,0
611,3,1,7.05,0,1,0.0,1.0,0.0,0.0,1.0,0
613,3,1,7.75,0,1,0.0,1.0,0.0,1.0,0.0,0
614,3,1,8.05,0,1,0.0,1.0,0.0,0.0,1.0,0
616,3,0,14.4,1,3,0.0,1.0,0.0,0.0,1.0,0
617,3,0,16.1,0,2,1.0,0.0,0.0,0.0,1.0,0
619,2,1,10.5,0,1,0.0,1.0,0.0,0.0,1.0,0
620,3,0,14.4542,0,2,0.0,1.0,1.0,0.0,0.0,0
623,3,1,7.8542,0,1,0.0,1.0,0.0,0.0,1.0,0
624,3,1,16.1,0,1,0.0,1.0,0.0,0.0,1.0,0
625,1,1,32.3208,0,1,0.0,1.0,0.0,0.0,1.0,0
626,2,1,12.35,0,1,0.0,1.0,0.0,1.0,0.0,0
628,3,1,7.8958,0,1,0.0,1.0,0.0,0.0,1.0,0
