,Fare,Parch,Family_Size
401,8.05,0,1
402,9.825,0,2
403,15.85,0,2
404,8.6625,0,1
405,21.0,0,2
406,7.75,0,1
407,18.75,1,3
408,7.775,0,1
409,25.4667,1,5
410,7.8958,0,1
411,6.8583,0,1
412,90.0,0,2
413,0.0,0,1
414,7.925,0,1
415,8.05,0,1
416,32.5,1,3
417,13.0,2,3
418,13.0,0,1
419,24.15,2,3
420,7.8958,0,1
421,7.7333,0,1
422,7.875,0,1
423,14.4,1,3
424,20.2125,1,3
425,7.25,0,1
426,26.0,0,2
427,26.0,0,1
428,7.75,0,1
429,8.05,0,1
430,26.55,0,1
431,16.1,0,2
432,26.0,0,2
433,7.125,0,1
434,55.9,0,2
435,120.0,2,4
436,34.375,2,5
437,18.75,3,6
438,263.0,4,6
439,10.5,0,1
440,26.25,1,3
441,9.5,0,1
442,7.775,0,2
443,13.0,0,1
444,8.1125,0,1
445,81.8583,2,3
446,19.5,1,2
447,26.55,0,1
448,19.2583,1,4
449,30.5,0,1
450,27.75,2,4
451,19.9667,0,2
452,27.75,0,1
453,89.1042,0,2
454,8.05,0,1
455,7.8958,0,1
456,26.55,0,1
457,51.8625,0,2
458,10.5,0,1
459,7.75,0,1
460,26.55,0,1
461,8.05,0,1
462,38.5,0,1
463,13.0,0,1
464,8.05,0,1
465,7.05,0,1
466,0.0,0,1
467,26.55,0,1
468,7.725,0,1
469,19.2583,1,4
470,7.25,0,1
471,8.6625,0,1
472,27.75,2,4
473,13.7917,0,1
474,9.8375,0,1
475,52.0,0,1
476,21.0,0,2
477,7.0458,0,2
478,7.5208,0,1
479,12.2875,1,2
480,46.9,2,8
481,0.0,0,1
482,8.05,0,1
483,9.5875,0,1
484,91.0792,0,2
485,25.4667,1,5
486,90.0,0,2
487,29.7,0,1
488,8.05,0,1
489,15.9,1,3
490,19.9667,0,2
491,7.25,0,1
492,30.5,0,1
493,49.5042,0,1
494,8.05,0,1
495,14.4583,0,1
496,78.2667,0,2
497,15.1,0,1
498,151.55,2,4
499,7.7958,0,1
500,8.6625,0,1
501,7.75,0,1
502,7.6292,0,1
503,9.5875,0,1
504,86.5,0,1
505,108.9,0,2
506,26.0,2,3
507,26.55,0,1
508,22.525,0,1
509,56.4958,0,1
510,7.75,0,1
511,8.05,0,1
512,26.2875,0,1
513,59.4,0,2
514,7.4958,0,1
515,34.0208,0,1
516,10.5,0,1
517,24.15,0,1
518,26.0,0,2
519,7.8958,0,1
520,93.5,0,1
521,7.8958,0,1
522,7.225,0,1
523,57.9792,1,2
524,7.2292,0,1
525,7.75,0,1
526,10.5,0,1
527,221.7792,0,1
528,7.925,0,1
529,11.5,1,4
530,26.0,1,3
531,7.2292,0,1
532,7.2292,1,3
533,22.3583,2,3
534,8.6625,0,1
535,26.25,2,3
536,26.55,0,1
537,106.425,0,1
538,14.5,0,1
539,49.5,2,3
540,71.0,2,3
541,31.275,2,7
542,31.275,2,7
543,26.0,0,2
544,106.425,0,2
545,26.0,0,1
546,26.0,0,2
547,13.8625,0,1
548,20.525,1,3
549,36.75,1,3
550,110.8833,2,3
551,26.0,0,1
552,7.8292,0,1
553,7.225,0,1
554,7.775,0,1
555,26.55,0,1
556,39.6,0,2
557,227.525,0,1
558,79.65,1,3
559,17.4,0,2
560,7.75,0,1
561,7.8958,0,1
562,13.5,0,1
563,8.05,0,1
564,8.05,0,1
565,24.15,0,3
566,7.8958,0,1
567,21.075,4,5
568,7.2292,0,1
569,7.8542,0,1
570,10.5,0,1
571,51.4792,0,3
572,26.3875,0,1
573,7.75,0,1
574,8.05,0,1
575,14.5,0,1
576,13.0,0,1
577,55.9,0,2
578,14.4583,0,2
579,7.925,0,1
580,30.0,1,3
581,110.8833,1,3
582,26.0,0,1
583,40.125,0,1
584,8.7125,0,1
585,79.65,2,3
586,15.0,0,1
587,79.2,1,3
588,8.05,0,1
589,8.05,0,1
590,7.125,0,1
591,78.2667,0,2
592,7.25,0,1
593,7.75,2,3
594,26.0,0,2
595,24.15,1,3
596,33.0,0,1
597,0.0,0,1
598,7.225,0,1
599,56.9292,0,2
600,27.0,1,4
601,7.8958,0,1
602,42.4,0,1
603,8.05,0,1
604,26.55,0,1
605,15.55,0,2
606,7.8958,0,1
607,30.5,0,1
608,41.5792,2,4
609,153.4625,0,1
610,31.275,5,7
611,7.05,0,1
612,15.5,0,2
613,7.75,0,1
614,8.05,0,1
615,65.0,2,4
616,14.4,1,3
617,16.1,0,2
618,39.0,1,4
619,10.5,0,1
620,14.4542,0,2
621,52.5542,0,2
622,15.7417,1,3
623,7.8542,0,1
624,16.1,0,1
625,32.3208,0,1
626,12.35,0,1
627,77.9583,0,1
628,7.8958,0,1
629,7.7333,0,1
630,30.0,0,1
631,7.0542,0,1
632,30.5,0,1
633,0.0,0,1
634,27.9,2,6
635,13.0,0,1
636,7.925,0,1
637,26.25,1,3
638,39.6875,5,6
639,16.1,0,2
640,7.8542,0,1
641,69.3,0,1
642,27.9,2,6
643,56.4958,0,1
644,19.2583,1,4
645,76.7292,0,2
646,7.8958,0,1
647,35.5,0,1
648,7.55,0,1
649,7.55,0,1
650,7.8958,0,1
651,23.0,1,2
652,8.4333,0,1
653,7.8292,0,1
654,6.75,0,1
655,73.5,0,3
656,7.8958,0,1
657,15.5,1,3
658,13.0,0,1
659,113.275,2,3
660,133.65,0,3
661,7.225,0,1
662,25.5875,0,1
663,7.4958,0,1
664,7.925,0,2
665,73.5,0,3
666,13.0,0,1
667,7.775,0,1
668,8.05,0,1
669,52.0,0,2
670,39.0,1,3
671,52.0,0,2
672,10.5,0,1
673,13.0,0,1
674,0.0,0,1
675,7.775,0,1
676,8.05,0,1
677,9.8417,0,1
678,46.9,6,8
679,512.3292,1,2
680,8.1375,0,1
681,76.7292,0,1
682,9.225,0,1
683,46.9,2,8
684,39.0,1,3
685,41.5792,2,4
686,39.6875,1,6
687,10.1708,0,1
688,7.7958,0,1
689,211.3375,1,2
690,57.0,0,2
691,13.4167,1,2
692,56.4958,0,1
693,7.225,0,1
694,26.55,0,1
695,13.5,0,1
696,8.05,0,1
697,7.7333,0,1
698,110.8833,1,3
699,7.65,0,1
700,227.525,0,2
701,26.2875,0,1
702,14.4542,1,2
703,7.7417,0,1
704,7.8542,0,2
705,26.0,0,1
706,13.5,0,1
707,26.2875,0,1
708,151.55,0,1
709,15.2458,1,3
710,49.5042,0,1
711,26.55,0,1
712,52.0,0,2
713,9.4833,0,1
714,13.0,0,1
715,7.65,0,1
716,227.525,0,1
717,10.5,0,1
718,15.5,0,1
719,7.775,0,1
720,33.0,1,2
721,7.0542,0,2
722,13.0,0,1
723,13.0,0,1
724,53.1,0,2
725,8.6625,0,1
726,21.0,0,4
727,7.7375,0,1
728,26.0,0,2
729,7.925,0,2
730,211.3375,0,1
731,18.7875,0,1
732,0.0,0,1
733,13.0,0,1
734,13.0,0,1
735,16.1,0,1
736,34.375,3,5
737,512.3292,0,1
738,7.8958,0,1
739,7.8958,0,1
740,30.0,0,1
741,78.85,0,2
742,262.375,2,5
743,16.1,0,2
744,7.925,0,1
745,71.0,1,3
746,20.25,1,3
747,13.0,0,1
748,53.1,0,2
749,7.75,0,1
750,23.0,1,3
751,12.475,1,2
752,9.5,0,1
753,7.8958,0,1
754,65.0,2,4
755,14.5,1,3
756,7.7958,0,1
757,11.5,0,1
758,8.05,0,1
759,86.5,0,1
760,14.5,0,1
761,7.125,0,1
762,7.2292,0,1
763,120.0,2,4
764,7.775,0,1
765,77.9583,0,2
766,39.6,0,1
767,7.75,0,1
768,24.15,0,2
769,8.3625,0,1
770,9.5,0,1
771,7.8542,0,1
772,10.5,0,1
773,7.225,0,1
774,23.0,3,5
775,7.75,0,1
776,7.75,0,1
777,12.475,0,1
778,7.7375,0,1
779,211.3375,1,2
780,7.2292,0,1
781,57.0,0,2
782,30.0,0,1
783,23.45,2,4
784,7.05,0,1
785,7.25,0,1
786,7.4958,0,1
787,29.125,1,6
788,20.575,2,4
789,79.2,0,1
790,7.75,0,1
791,26.0,0,1
792,69.55,2,11
793,30.6958,0,1
794,7.8958,0,1
795,13.0,0,1
796,25.9292,0,1
797,8.6833,0,1
798,7.2292,0,1
799,24.15,1,3
800,13.0,0,1
801,26.25,1,3
802,120.0,2,4
803,8.5167,1,2
804,6.975,0,1
805,7.775,0,1
806,0.0,0,1
807,7.775,0,1
808,13.0,0,1
809,53.1,0,2
810,7.8875,0,1
811,24.15,0,1
812,10.5,0,1
813,31.275,2,7
814,8.05,0,1
815,0.0,0,1
816,7.925,0,1
817,37.0042,1,3
818,6.45,0,1
819,27.9,2,6
820,93.5,1,3
821,8.6625,0,1
822,0.0,0,1
823,12.475,1,2
824,39.6875,1,6
825,6.95,0,1
826,56.4958,0,1
827,37.0042,2,3
828,7.75,0,1
829,80.0,0,1
830,14.4542,0,2
831,18.75,1,3
832,7.2292,0,1
833,7.8542,0,1
834,8.3,0,1
835,83.1583,1,3
836,8.6625,0,1
837,8.05,0,1
838,56.4958,0,1
839,29.7,0,1
840,7.925,0,1
841,10.5,0,1
842,31.0,0,1
843,6.4375,0,1
844,8.6625,0,1
845,7.55,0,1
846,69.55,2,11
847,7.8958,0,1
848,33.0,1,2
849,89.1042,0,2
850,31.275,2,7
851,7.775,0,1
852,15.2458,1,3
853,39.4,1,2
854,26.0,0,2
855,9.35,1,2
856,164.8667,1,3
857,26.55,0,1
858,19.2583,3,4
859,7.2292,0,1
860,14.1083,0,3
861,11.5,0,2
862,25.9292,0,1
863,69.55,2,11
864,13.0,0,1
865,13.0,0,1
866,13.8583,0,2
867,50.4958,0,1
868,9.5,0,1
869,11.1333,1,3
870,7.8958,0,1
871,52.5542,1,3
872,5.0,0,1
873,9.0,0,1
874,24.0,0,2
875,7.225,0,1
876,9.8458,0,1
877,7.8958,0,1
878,7.8958,0,1
879,83.1583,1,2
880,26.0,1,2
881,7.8958,0,1
882,10.5167,0,1
883,10.5,0,1
884,7.05,0,1
885,29.125,5,6
886,13.0,0,1
887,30.0,0,1
888,23.45,2,4
889,30.0,0,1
890,7.75,0,1
