,Age,SibSp,Parch,Fare,Family_Size,Survived,Pclass,Sex,Embarked,Alone,Initial
71,16.0,5,2,46.9,8,0,3,female,S,0,Miss
72,21.0,0,0,73.5,1,0,2,male,S,1,Mr
73,26.0,1,0,14.4542,2,0,3,male,C,0,Mr
74,32.0,0,0,56.4958,1,1,3,male,S,1,Mr
75,25.0,0,0,7.65,1,0,3,male,S,1,Mr
76,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
77,28.0,0,0,8.05,1,0,3,male,S,1,Mr
78,0.83,0,2,29.0,3,1,2,male,S,0,Master
79,30.0,0,0,12.475,1,1,3,female,S,1,Miss
80,22.0,0,0,9.0,1,0,3,male,S,1,Mr
81,29.0,0,0,9.5,1,1,3,male,S,1,Mr
82,28.0,0,0,7.7875,1,1,3,female,Q,1,Miss
83,28.0,0,0,47.1,1,0,1,male,S,1,Mr
84,17.0,0,0,10.5,1,1,2,female,S,1,Miss
85,33.0,3,0,15.85,4,1,3,female,S,0,Mrs
86,16.0,1,3,34.375,5,0,3,male,S,0,Mr
87,28.0,0,0,8.05,1,0,3,male,S,1,Mr
88,23.0,3,2,263.0,6,1,1,female,S,0,Miss
89,24.0,0,0,8.05,1,0,3,male,S,1,Mr
90,29.0,0,0,8.05,1,0,3,male,S,1,Mr
91,20.0,0,0,7.8542,1,0,3,male,S,1,Mr
92,46.0,1,0,61.175,2,0,1,male,S,0,Mr
93,26.0,1,2,20.575,4,0,3,male,S,0,Mr
94,59.0,0,0,7.25,1,0,3,male,S,1,Mr
95,28.0,0,0,8.05,1,0,3,male,S,1,Mr
96,71.0,0,0,34.6542,1,0,1,male,C,1,Mr
97,23.0,0,1,63.3583,2,1,1,male,C,0,Mr
98,34.0,0,1,23.0,2,1,2,female,S,0,Mrs
99,34.0,1,0,26.0,2,0,2,male,S,0,Mr
100,28.0,0,0,7.8958,1,0,3,female,S,1,Miss
101,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
102,21.0,0,1,77.2875,2,0,1,male,S,0,Mr
103,33.0,0,0,8.6542,1,0,3,male,S,1,Mr
104,37.0,2,0,7.925,3,0,3,male,S,0,Mr
105,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
106,21.0,0,0,7.65,1,1,3,female,S,1,Miss
107,28.0,0,0,7.775,1,1,3,male,S,1,Mr
108,38.0,0,0,7.8958,1,0,3,male,S,1,Mr
109,28.0,1,0,24.15,2,1,3,female,Q,0,Miss
110,47.0,0,0,52.0,1,0,1,male,S,1,Mr
111,14.5,1,0,14.4542,2,0,3,female,C,0,Miss
112,22.0,0,0,8.05,1,0,3,male,S,1,Mr
113,20.0,1,0,9.825,2,0,3,female,S,0,Miss
114,17.0,0,0,14.4583,1,0,3,female,C,1,Miss
115,21.0,0,0,7.925,1,0,3,male,S,1,Mr
116,70.5,0,0,7.75,1,0,3,male,Q,1,Mr
117,29.0,1,0,21.0,2,0,2,male,S,0,Mr
118,24.0,0,1,247.5208,2,0,1,male,C,0,Mr
119,2.0,4,2,31.275,7,0,3,female,S,0,Miss
120,21.0,2,0,73.5,3,0,2,male,S,0,Mr
121,28.0,0,0,8.05,1,0,3,male,S,1,Mr
122,32.5,1,0,30.0708,2,0,2,male,C,0,Mr
123,32.5,0,0,13.0,1,1,2,female,S,1,Miss
124,54.0,0,1,77.2875,2,0,1,male,S,0,Mr
125,12.0,1,0,11.2417,2,1,3,male,C,0,Master
126,28.0,0,0,7.75,1,0,3,male,Q,1,Mr
127,24.0,0,0,7.1417,1,1,3,male,S,1,Mr
128,28.0,1,1,22.3583,3,1,3,female,C,0,Miss
129,45.0,0,0,6.975,1,0,3,male,S,1,Mr
130,33.0,0,0,7.8958,1,0,3,male,C,1,Mr
131,20.0,0,0,7.05,1,0,3,male,S,1,Mr
132,47.0,1,0,14.5,2,0,3,female,S,0,Mrs
133,29.0,1,0,26.0,2,1,2,female,S,0,Mrs
134,25.0,0,0,13.0,1,0,2,male,S,1,Mr
135,23.0,0,0,15.0458,1,0,2,male,C,1,Mr
136,19.0,0,2,26.2833,3,1,1,female,S,0,Miss
137,37.0,1,0,53.1,2,0,1,male,S,0,Mr
138,16.0,0,0,9.2167,1,0,3,male,S,1,Mr
139,24.0,0,0,79.2,1,0,1,male,C,1,Mr
140,28.0,0,2,15.2458,3,0,3,female,C,0,Mrs
141,22.0,0,0,7.75,1,1,3,female,S,1,Miss
142,24.0,1,0,15.85,2,1,3,female,S,0,Mrs
143,19.0,0,0,6.75,1,0,3,male,Q,1,Mr
144,18.0,0,0,11.5,1,0,2,male,S,1,Mr
145,19.0,1,1,36.75,3,0,2,male,S,0,Mr
146,27.0,0,0,7.7958,1,1,3,male,S,1,Mr
147,9.0,2,2,34.375,5,0,3,female,S,0,Miss
148,36.5,0,2,26.0,3,0,2,male,S,0,Mr
149,42.0,0,0,13.0,1,0,2,male,S,1,Rev
150,51.0,0,0,12.525,1,0,2,male,S,1,Rev
151,22.0,1,0,66.6,2,1,1,female,S,0,Mrs
152,55.5,0,0,8.05,1,0,3,male,S,1,Mr
153,40.5,0,2,14.5,3,0,3,male,S,0,Mr
154,28.0,0,0,7.3125,1,0,3,male,S,1,Mr
155,51.0,0,1,61.3792,2,0,1,male,C,0,Mr
156,16.0,0,0,7.7333,1,1,3,female,Q,1,Miss
157,30.0,0,0,8.05,1,0,3,male,S,1,Mr
158,28.0,0,0,8.6625,1,0,3,male,S,1,Mr
159,28.0,8,2,69.55,11,0,3,male,S,0,Master
160,44.0,0,1,16.1,2,0,3,male,S,0,Mr
161,40.0,0,0,15.75,1,1,2,female,S,1,Mrs
162,26.0,0,0,7.775,1,0,3,male,S,1,Mr
163,17.0,0,0,8.6625,1,0,3,male,S,1,Mr
164,1.0,4,1,39.6875,6,0,3,male,S,0,Master
165,9.0,0,2,20.525,3,1,3,male,S,0,Master
166,28.0,0,1,55.0,2,1,1,female,S,0,Mrs
167,45.0,1,4,27.9,6,0,3,female,S,0,Mrs
168,28.0,0,0,25.925,1,0,1,male,S,1,Mr
169,28.0,0,0,56.4958,1,0,3,male,S,1,Mr
170,61.0,0,0,33.5,1,0,1,male,S,1,Mr
171,4.0,4,1,29.125,6,0,3,male,Q,0,Master
172,1.0,1,1,11.1333,3,1,3,female,S,0,Miss
173,21.0,0,0,7.925,1,0,3,male,S,1,Mr
174,56.0,0,0,30.6958,1,0,1,male,C,1,Mr
175,18.0,1,1,7.8542,3,0,3,male,S,0,Mr
176,28.0,3,1,25.4667,5,0,3,male,S,0,Master
177,50.0,0,0,28.7125,1,0,1,female,C,1,Miss
178,30.0,0,0,13.0,1,0,2,male,S,1,Mr
179,36.0,0,0,0.0,1,0,3,male,S,1,Mr
180,28.0,8,2,69.55,11,0,3,female,S,0,Miss
181,28.0,0,0,15.05,1,0,2,male,C,1,Mr
182,9.0,4,2,31.3875,7,0,3,male,S,0,Master
183,1.0,2,1,39.0,4,1,2,male,S,0,Master
184,4.0,0,2,22.025,3,1,3,female,S,0,Miss
185,28.0,0,0,50.0,1,0,1,male,S,1,Mr
186,28.0,1,0,15.5,2,1,3,female,Q,0,Mrs
187,45.0,0,0,26.55,1,1,1,male,S,1,Mr
188,40.0,1,1,15.5,3,0,3,male,Q,0,Mr
189,36.0,0,0,7.8958,1,0,3,male,S,1,Mr
190,32.0,0,0,13.0,1,1,2,female,S,1,Mrs
191,19.0,0,0,13.0,1,0,2,male,S,1,Mr
192,19.0,1,0,7.8542,2,1,3,female,S,0,Miss
193,3.0,1,1,26.0,3,1,2,male,S,0,Master
194,44.0,0,0,27.7208,1,1,1,female,C,1,Mrs
195,58.0,0,0,146.5208,1,1,1,female,C,1,Miss
196,28.0,0,0,7.75,1,0,3,male,Q,1,Mr
197,42.0,0,1,8.4042,2,0,3,male,S,0,Mr
198,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
199,24.0,0,0,13.0,1,0,2,female,S,1,Miss
200,28.0,0,0,9.5,1,0,3,male,S,1,Mr
201,28.0,8,2,69.55,11,0,3,male,S,0,Mr
202,34.0,0,0,6.4958,1,0,3,male,S,1,Mr
203,45.5,0,0,7.225,1,0,3,male,C,1,Mr
204,18.0,0,0,8.05,1,1,3,male,S,1,Mr
205,2.0,0,1,10.4625,2,0,3,female,S,0,Miss
206,32.0,1,0,15.85,2,0,3,male,S,0,Mr
207,26.0,0,0,18.7875,1,1,3,male,C,1,Mr
208,16.0,0,0,7.75,1,1,3,female,Q,1,Miss
209,40.0,0,0,31.0,1,1,1,male,C,1,Mr
210,24.0,0,0,7.05,1,0,3,male,S,1,Mr
211,35.0,0,0,21.0,1,1,2,female,S,1,Miss
212,22.0,0,0,7.25,1,0,3,male,S,1,Mr
213,30.0,0,0,13.0,1,0,2,male,S,1,Mr
214,28.0,1,0,7.75,2,0,3,male,Q,0,Mr
215,31.0,1,0,113.275,2,1,1,female,C,0,Miss
216,27.0,0,0,7.925,1,1,3,female,S,1,Miss
217,42.0,1,0,27.0,2,0,2,male,S,0,Mr
218,32.0,0,0,76.2917,1,1,1,female,C,1,Miss
219,30.0,0,0,10.5,1,0,2,male,S,1,Mr
220,16.0,0,0,8.05,1,1,3,male,S,1,Mr
221,27.0,0,0,13.0,1,0,2,male,S,1,Mr
222,51.0,0,0,8.05,1,0,3,male,S,1,Mr
223,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
224,38.0,1,0,90.0,2,1,1,male,S,0,Mr
225,22.0,0,0,9.35,1,0,3,male,S,1,Mr
226,19.0,0,0,10.5,1,1,2,male,S,1,Mr
227,20.5,0,0,7.25,1,0,3,male,S,1,Mr
228,18.0,0,0,13.0,1,0,2,male,S,1,Mr
229,28.0,3,1,25.4667,5,0,3,female,S,0,Miss
230,35.0,1,0,83.475,2,1,1,female,S,0,Mrs
231,29.0,0,0,7.775,1,0,3,male,S,1,Mr
232,59.0,0,0,13.5,1,0,2,male,S,1,Mr
233,5.0,4,2,31.3875,7,1,3,female,S,0,Miss
234,24.0,0,0,10.5,1,0,2,male,S,1,Mr
235,28.0,0,0,7.55,1,0,3,female,S,1,Miss
236,44.0,1,0,26.0,2,0,2,male,S,0,Mr
237,8.0,0,2,26.25,3,1,2,female,S,0,Miss
238,19.0,0,0,10.5,1,0,2,male,S,1,Mr
239,33.0,0,0,12.275,1,0,2,male,S,1,Mr
240,28.0,1,0,14.4542,2,0,3,female,C,0,Miss
241,28.0,1,0,15.5,2,1,3,female,Q,0,Miss
242,29.0,0,0,10.5,1,0,2,male,S,1,Mr
243,22.0,0,0,7.125,1,0,3,male,S,1,Mr
244,30.0,0,0,7.225,1,0,3,male,C,1,Mr
245,44.0,2,0,90.0,3,0,1,male,Q,0,Dr
246,25.0,0,0,7.775,1,0,3,female,S,1,Miss
247,24.0,0,2,14.5,3,1,2,female,S,0,Mrs
248,37.0,1,1,52.5542,3,1,1,male,S,0,Mr
249,54.0,1,0,26.0,2,0,2,male,S,0,Rev
250,28.0,0,0,7.25,1,0,3,male,S,1,Mr
251,29.0,1,1,10.4625,3,0,3,female,S,0,Mrs
252,62.0,0,0,26.55,1,0,1,male,S,1,Mr
253,30.0,1,0,16.1,2,0,3,male,S,0,Mr
254,41.0,0,2,20.2125,3,0,3,female,S,0,Mrs
255,29.0,0,2,15.2458,3,1,3,female,C,0,Mrs
256,28.0,0,0,79.2,1,1,1,female,C,1,Mrs
257,30.0,0,0,86.5,1,1,1,female,S,1,Miss
258,35.0,0,0,512.3292,1,1,1,female,C,1,Miss
259,50.0,0,1,26.0,2,1,2,female,S,0,Mrs
260,28.0,0,0,7.75,1,0,3,male,Q,1,Mr
261,3.0,4,2,31.3875,7,1,3,male,S,0,Master
262,52.0,1,1,79.65,3,0,1,male,S,0,Mr
263,40.0,0,0,0.0,1,0,1,male,S,1,Mr
264,28.0,0,0,7.75,1,0,3,female,Q,1,Miss
265,36.0,0,0,10.5,1,0,2,male,S,1,Mr
266,16.0,4,1,39.6875,6,0,3,male,S,0,Mr
267,25.0,1,0,7.775,2,1,3,male,S,0,Mr
268,58.0,0,1,153.4625,2,1,1,female,S,0,Mrs
269,35.0,0,0,135.6333,1,1,1,female,S,1,Miss
270,28.0,0,0,31.0,1,0,1,male,S,1,Mr
271,25.0,0,0,0.0,1,1,3,male,S,1,Mr
272,41.0,0,1,19.5,2,1,2,female,S,0,Mrs
273,37.0,0,1,29.7,2,0,1,male,C,0,Mr
274,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
275,63.0,1,0,77.9583,2,1,1,female,S,0,Miss
276,45.0,0,0,7.75,1,0,3,female,S,1,Miss
277,28.0,0,0,0.0,1,0,2,male,S,1,Mr
278,7.0,4,1,29.125,6,0,3,male,Q,0,Master
279,35.0,1,1,20.25,3,1,3,female,S,0,Mrs
280,65.0,0,0,7.75,1,0,3,male,Q,1,Mr
281,28.0,0,0,7.8542,1,0,3,male,S,1,Mr
282,16.0,0,0,9.5,1,0,3,male,S,1,Mr
283,19.0,0,0,8.05,1,1,3,male,S,1,Mr
284,28.0,0,0,26.0,1,0,1,male,S,1,Mr
285,33.0,0,0,8.6625,1,0,3,male,C,1,Mr
286,30.0,0,0,9.5,1,1,3,male,S,1,Mr
287,22.0,0,0,7.8958,1,0,3,male,S,1,Mr
288,42.0,0,0,13.0,1,1,2,male,S,1,Mr
289,22.0,0,0,7.75,1,1,3,female,Q,1,Miss
290,26.0,0,0,78.85,1,1,1,female,S,1,Miss
291,19.0,1,0,91.0792,2,1,1,female,C,0,Mrs
292,36.0,0,0,12.875,1,0,2,male,C,1,Mr
293,24.0,0,0,8.85,1,0,3,female,S,1,Miss
294,24.0,0,0,7.8958,1,0,3,male,S,1,Mr
295,28.0,0,0,27.7208,1,0,1,male,C,1,Mr
296,23.5,0,0,7.2292,1,0,3,male,C,1,Mr
297,2.0,1,2,151.55,4,0,1,female,S,0,Miss
298,28.0,0,0,30.5,1,1,1,male,S,1,Mr
299,50.0,0,1,247.5208,2,1,1,female,C,0,Mrs
300,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
301,28.0,2,0,23.25,3,1,3,male,Q,0,Mr
302,19.0,0,0,0.0,1,0,3,male,S,1,Mr
303,28.0,0,0,12.35,1,1,2,female,Q,1,Miss
304,28.0,0,0,8.05,1,0,3,male,S,1,Mr
305,0.92,1,2,151.55,4,1,1,male,S,0,Master
306,28.0,0,0,110.8833,1,1,1,female,C,1,Miss
307,17.0,1,0,108.9,2,1,1,female,C,0,Mrs
308,30.0,1,0,24.0,2,0,2,male,C,0,Mr
309,30.0,0,0,56.9292,1,1,1,female,C,1,Miss
310,24.0,0,0,83.1583,1,1,1,female,C,1,Miss
311,18.0,2,2,262.375,5,1,1,female,C,0,Miss
312,26.0,1,1,26.0,3,0,2,female,S,0,Mrs
313,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
314,43.0,1,1,26.25,3,0,2,male,S,0,Mr
315,26.0,0,0,7.8542,1,1,3,female,S,1,Miss
316,24.0,1,0,26.0,2,1,2,female,S,0,Mrs
317,54.0,0,0,14.0,1,0,2,male,S,1,Dr
318,31.0,0,2,164.8667,3,1,1,female,S,0,Miss
319,40.0,1,1,134.5,3,1,1,female,C,0,Mrs
320,22.0,0,0,7.25,1,0,3,male,S,1,Mr
321,27.0,0,0,7.8958,1,0,3,male,S,1,Mr
322,30.0,0,0,12.35,1,1,2,female,Q,1,Miss
323,22.0,1,1,29.0,3,1,2,female,S,0,Mrs
324,28.0,8,2,69.55,11,0,3,male,S,0,Mr
325,36.0,0,0,135.6333,1,1,1,female,C,1,Miss
326,61.0,0,0,6.2375,1,0,3,male,S,1,Mr
327,36.0,0,0,13.0,1,1,2,female,S,1,Mrs
328,31.0,1,1,20.525,3,1,3,female,S,0,Mrs
329,16.0,0,1,57.9792,2,1,1,female,C,0,Miss
330,28.0,2,0,23.25,3,1,3,female,Q,0,Miss
331,45.5,0,0,28.5,1,0,1,male,S,1,Mr
332,38.0,0,1,153.4625,2,0,1,male,S,0,Mr
333,16.0,2,0,18.0,3,0,3,male,S,0,Mr
334,28.0,1,0,133.65,2,1,1,female,S,0,Mrs
335,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
336,29.0,1,0,66.6,2,0,1,male,S,0,Mr
337,41.0,0,0,134.5,1,1,1,female,C,1,Miss
338,45.0,0,0,8.05,1,1,3,male,S,1,Mr
339,45.0,0,0,35.5,1,0,1,male,S,1,Mr
340,2.0,1,1,26.0,3,1,2,male,S,0,Master
341,24.0,3,2,263.0,6,1,1,female,S,0,Miss
342,28.0,0,0,13.0,1,0,2,male,S,1,Mr
343,25.0,0,0,13.0,1,0,2,male,S,1,Mr
344,36.0,0,0,13.0,1,0,2,male,S,1,Mr
345,24.0,0,0,13.0,1,1,2,female,S,1,Miss
346,40.0,0,0,13.0,1,1,2,female,S,1,Miss
347,28.0,1,0,16.1,2,1,3,female,S,0,Mrs
348,3.0,1,1,15.9,3,1,3,male,S,0,Master
349,42.0,0,0,8.6625,1,0,3,male,S,1,Mr
350,23.0,0,0,9.225,1,0,3,male,S,1,Mr
351,28.0,0,0,35.0,1,0,1,male,S,1,Mr
352,15.0,1,1,7.2292,3,0,3,male,C,0,Mr
353,25.0,1,0,17.8,2,0,3,male,S,0,Mr
354,28.0,0,0,7.225,1,0,3,male,C,1,Mr
355,28.0,0,0,9.5,1,0,3,male,S,1,Mr
356,22.0,0,1,55.0,2,1,1,female,S,0,Miss
357,38.0,0,0,13.0,1,0,2,female,S,1,Miss
358,28.0,0,0,7.8792,1,1,3,female,Q,1,Miss
359,28.0,0,0,7.8792,1,1,3,female,Q,1,Miss
360,40.0,1,4,27.9,6,0,3,male,S,0,Mr
361,29.0,1,0,27.7208,2,0,2,male,C,0,Mr
362,45.0,0,1,14.4542,2,0,3,female,C,0,Mrs
363,35.0,0,0,7.05,1,0,3,male,S,1,Mr
364,28.0,1,0,15.5,2,0,3,male,Q,0,Mr
365,30.0,0,0,7.25,1,0,3,male,S,1,Mr
366,60.0,1,0,75.25,2,1,1,female,C,0,Mrs
367,28.0,0,0,7.2292,1,1,3,female,C,1,Mrs
368,28.0,0,0,7.75,1,1,3,female,Q,1,Miss
369,24.0,0,0,69.3,1,1,1,female,C,1,Mme
370,25.0,1,0,55.4417,2,1,1,male,C,0,Mr
371,18.0,1,0,6.4958,2,0,3,male,S,0,Mr
372,19.0,0,0,8.05,1,0,3,male,S,1,Mr
373,22.0,0,0,135.6333,1,0,1,male,C,1,Mr
374,3.0,3,1,21.075,5,0,3,female,S,0,Miss
375,28.0,1,0,82.1708,2,1,1,female,C,0,Mrs
376,22.0,0,0,7.25,1,1,3,female,S,1,Miss
377,27.0,0,2,211.5,3,0,1,male,C,0,Mr
378,20.0,0,0,4.0125,1,0,3,male,C,1,Mr
379,19.0,0,0,7.775,1,0,3,male,S,1,Mr
380,42.0,0,0,227.525,1,1,1,female,C,1,Miss
381,1.0,0,2,15.7417,3,1,3,female,C,0,Miss
382,32.0,0,0,7.925,1,0,3,male,S,1,Mr
383,35.0,1,0,52.0,2,1,1,female,S,0,Mrs
384,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
385,18.0,0,0,73.5,1,0,2,male,S,1,Mr
386,1.0,5,2,46.9,8,0,3,male,S,0,Master
387,36.0,0,0,13.0,1,1,2,female,S,1,Miss
388,28.0,0,0,7.7292,1,0,3,male,Q,1,Mr
389,17.0,0,0,12.0,1,1,2,female,C,1,Miss
390,36.0,1,2,120.0,4,1,1,male,S,0,Mr
391,21.0,0,0,7.7958,1,1,3,male,S,1,Mr
392,28.0,2,0,7.925,3,0,3,male,S,0,Mr
393,23.0,1,0,113.275,2,1,1,female,C,0,Miss
394,24.0,0,2,16.7,3,1,3,female,S,0,Mrs
395,22.0,0,0,7.7958,1,0,3,male,S,1,Mr
396,31.0,0,0,7.8542,1,0,3,female,S,1,Miss
397,46.0,0,0,26.0,1,0,2,male,S,1,Mr
398,23.0,0,0,10.5,1,0,2,male,S,1,Dr
399,28.0,0,0,12.65,1,1,2,female,S,1,Mrs
400,39.0,0,0,7.925,1,1,3,male,S,1,Mr
401,26.0,0,0,8.05,1,0,3,male,S,1,Mr
402,21.0,1,0,9.825,2,0,3,female,S,0,Miss
403,28.0,1,0,15.85,2,0,3,male,S,0,Mr
404,20.0,0,0,8.6625,1,0,3,female,S,1,Miss
405,34.0,1,0,21.0,2,0,2,male,S,0,Mr
406,51.0,0,0,7.75,1,0,3,male,S,1,Mr
407,3.0,1,1,18.75,3,1,2,male,S,0,Master
408,21.0,0,0,7.775,1,0,3,male,S,1,Mr
409,28.0,3,1,25.4667,5,0,3,female,S,0,Miss
410,28.0,0,0,7.8958,1,0,3,male,S,1,Mr
411,28.0,0,0,6.8583,1,0,3,male,Q,1,Mr
412,33.0,1,0,90.0,2,1,1,female,Q,0,Miss
413,28.0,0,0,0.0,1,0,2,male,S,1,Mr
414,44.0,0,0,7.925,1,1,3,male,S,1,Mr
415,28.0,0,0,8.05,1,0,3,female,S,1,Mrs
416,34.0,1,1,32.5,3,1,2,female,S,0,Mrs
417,18.0,0,2,13.0,3,1,2,female,S,0,Miss
418,30.0,0,0,13.0,1,0,2,male,S,1,Mr
419,10.0,0,2,24.15,3,0,3,female,S,0,Miss
420,28.0,0,0,7.8958,1,0,3,male,C,1,Mr
421,21.0,0,0,7.7333,1,0,3,male,Q,1,Mr
422,29.0,0,0,7.875,1,0,3,male,S,1,Mr
423,28.0,1,1,14.4,3,0,3,female,S,0,Mrs
424,18.0,1,1,20.2125,3,0,3,male,S,0,Mr
425,28.0,0,0,7.25,1,0,3,male,S,1,Mr
426,28.0,1,0,26.0,2,1,2,female,S,0,Mrs
427,19.0,0,0,26.0,1,1,2,female,S,1,Miss
428,28.0,0,0,7.75,1,0,3,male,Q,1,Mr
429,32.0,0,0,8.05,1,1,3,male,S,1,Mr
430,28.0,0,0,26.55,1,1,1,male,S,1,Mr
431,28.0,1,0,16.1,2,1,3,female,S,0,Mrs
432,42.0,1,0,26.0,2,1,2,female,S,0,Mrs
433,17.0,0,0,7.125,1,0,3,male,S,1,Mr
434,50.0,1,0,55.9,2,0,1,male,S,0,Mr
435,14.0,1,2,120.0,4,1,1,female,S,0,Miss
436,21.0,2,2,34.375,5,0,3,female,S,0,Miss
437,24.0,2,3,18.75,6,1,2,female,S,0,Mrs
438,64.0,1,4,263.0,6,0,1,male,S,0,Mr
439,31.0,0,0,10.5,1,0,2,male,S,1,Mr
440,45.0,1,1,26.25,3,1,2,female,S,0,Mrs
441,20.0,0,0,9.5,1,0,3,male,S,1,Mr
442,25.0,1,0,7.775,2,0,3,male,S,0,Mr
443,28.0,0,0,13.0,1,1,2,female,S,1,Ms
444,28.0,0,0,8.1125,1,1,3,male,S,1,Mr
445,4.0,0,2,81.8583,3,1,1,male,S,0,Master
446,13.0,0,1,19.5,2,1,2,female,S,0,Miss
447,34.0,0,0,26.55,1,1,1,male,S,1,Mr
448,5.0,2,1,19.2583,4,1,3,female,C,0,Miss
449,52.0,0,0,30.5,1,1,1,male,S,1,Major
450,36.0,1,2,27.75,4,0,2,male,S,0,Mr
451,28.0,1,0,19.9667,2,0,3,male,S,0,Mr
452,30.0,0,0,27.75,1,0,1,male,C,1,Mr
453,49.0,1,0,89.1042,2,1,1,male,C,0,Mr
454,28.0,0,0,8.05,1,0,3,male,S,1,Mr
